,watch-title,y,watch-view-count,watch-time-text,content_watch-info-tag-list,watch7-headline,watch7-user-header,watch8-sentiment-actions,og:image,og:image:width,og:image:height,og:description,og:video:width,og:video:height,og:video:tag,channel_link_0,proba
505,Platform Overview - Machine Learning,,4.298 visualizações,Publicado em 21 de mai. de 2019,Ciência e tecnologia,Platform Overview - Machine Learning,"Google Cloud Platform













Carregando...
    







        Cancelar inscrição de Google Cloud Platform?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição400 mil 











Carregando...
    









Carregando...
    













        Processando...","4.298 visualizações







141

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



142


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/QR_LQQ-vvko/maxresdefault.jpg,1280.0,720.0,"In this short GCP Essentials video, see how GCP has made Machine Learning easier for you from behind the scenes. Hear Alexis Moussine-Pouchkine further discu...",1280.0,720.0,Alexis Moussine Pouchkine,/channel/UCJS9pqu9BzkAMNTmzNMNhvg,0.533
507,Kaggle Meetup: Ship Detection Challenge,,504 visualizações,Publicado em 30 de nov. de 2018,Ciência e tecnologia,Kaggle Meetup: Ship Detection Challenge,"Learn Data Science













Carregando...
    







        Cancelar inscrição de Learn Data Science?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição464 











Carregando...
    









Carregando...
    













        Processando...","504 visualizações







9

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



10


1

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



2",https://i.ytimg.com/vi/QXEy4rdLsDw/maxresdefault.jpg,1280.0,720.0,Video from the 2018-11-29 meetup. Kaggle page: https://www.kaggle.com/c/airbus-ship-detection Meetup page: https://www.meetup.com/LearnDataScience/events/hjh...,1280.0,720.0,learn data science,/channel/UCJhW_16uxALr0X4olEW2p5A,0.665
519,flowlightさん『TalkingData AdTracking Fraud Detection Challenge』- Kaggle meetup Tokyo #4,,1.707 visualizações,Publicado em 12 de mai. de 2018,Pessoas e blogs,flowlightさん『TalkingData AdTracking Fraud Detection Challenge』- Kaggle meetup Tokyo #4,"Takami Sato













Carregando...
    







        Cancelar inscrição de Takami Sato?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição1,84 mil 











Carregando...
    









Carregando...
    













        Processando...","1.707 visualizações







17

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



18


1

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



2",https://i.ytimg.com/vi/RKXUEJVJJ-o/maxresdefault.jpg,1280.0,720.0,資料 https://www.slideshare.net/TakanoriHayashi3/talkingdata-adtracking-fraud-detection-challenge-1st-place-solution Kaggle meetup tokyo #4 https://connpass.co...,1280.0,720.0,kaggle,/channel/UCiECS_auJLNpFsvjTi1WuxQ,0.403
521,Kaggle iMaterialist (Fashion) 2019 at FGVC6 — Илья Денисов,,526 visualizações,Publicado em 18 de set. de 2019,Educação,Kaggle iMaterialist (Fashion) 2019 at FGVC6 — Илья Денисов,"ML Trainings













Carregando...
    







        Cancelar inscrição de ML Trainings?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição8,52 mil 











Carregando...
    









Carregando...
    













        Processando...","526 visualizações







18

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



19


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/RUfmEj1MC3k/maxresdefault.jpg,1280.0,720.0,"Илья Денисов рассказывает про опыт участия в соревновании Kaggle iMaterialist (Fashion) 2019 at FGVC6, в котором он выиграл золотую медаль. Из этого видео вы...",1280.0,720.0,kaggle,/channel/UCeq6ZIlvC9SVsfhfKnSvM9w,0.283
535,Identifying art through machine learning at MoMA,,9.476 visualizações,Publicado em 7 de mar. de 2018,Entretenimento,"#MachineLearning #Musuem #Art



    Identifying art through machine learning at MoMA","Google Arts & Culture














Carregando...
    







        Cancelar inscrição de Google Arts & Culture?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição135 mil 











Carregando...
    









Carregando...
    













        Processando...","9.476 visualizações







49

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



50


4

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



5",https://i.ytimg.com/vi/SLBqVOnn9Mo/maxresdefault.jpg,1280.0,720.0,"The Art Recognizer, built in collaboration with the Museum of Modern Art, helps you recover details of past exhibits in the snap of a finger. See an interest...",1280.0,720.0,museum of modern art,/channel/UCGn7dlcAmH44GqycKa_3ssA,0.385
557,Deep Learning - Computerphile,,131.286 visualizações,Publicado em 6 de jun. de 2018,Educação,Deep Learning - Computerphile,"Computerphile














Carregando...
    







        Cancelar inscrição de Computerphile?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição1,51 mi 











Carregando...
    









Carregando...
    













        Processando...","131.286 visualizações







3.700

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



3.701


48

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



49",https://i.ytimg.com/vi/TJlAxW-2nmI/maxresdefault.jpg,1280.0,720.0,Deep Learning with Convolutional Neural Networks - Dr Mike Pound explains. CNN background: https://youtu.be/py5byOOHZM8 Onion Routing (TOR): https://youtu.be...,1280.0,720.0,Neural Network,/channel/UC9-y-6csu5WGm29I7JiwpnA,0.496
571,Kaggle Reading Group: Dissecting contextual word embeddings | Kaggle,,1.016 visualizações,Transmitido ao vivo em 13 de mar. de 2019,Ciência e tecnologia,Kaggle Reading Group: Dissecting contextual word embeddings | Kaggle,"Kaggle













Carregando...
    







        Cancelar inscrição de Kaggle?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição39 mil 











Carregando...
    









Carregando...
    













        Processando...","1.016 visualizações







27

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



28


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/U7UYsMweMLY/hqdefault.jpg,480.0,360.0,"Join Kaggle Data Scientist Rachael as she reads through an NLP paper! Today's paper is ""Dissecting contextual word embeddings: Architecture and representatio...",1280.0,720.0,technology,/channel/UCSNeZleDn9c74yQc-EKnVTA,0.504
579,How Machine Learning is Impacting Oil and Gas (Cloud Next '18),,6.528 visualizações,Publicado em 26 de jul. de 2018,Ciência e tecnologia,How Machine Learning is Impacting Oil and Gas (Cloud Next '18),"Google Cloud Platform













Carregando...
    







        Cancelar inscrição de Google Cloud Platform?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição400 mil 











Carregando...
    









Carregando...
    













        Processando...","6.528 visualizações







84

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



85


5

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



6",https://i.ytimg.com/vi/UXt7gVz5EPs/maxresdefault.jpg,1280.0,720.0,"New advances in machine learning are helping organizations optimize operations, maximize output, and automate manual processes. However, the scalability of s...",1280.0,720.0,Cloud ML,/channel/UCJS9pqu9BzkAMNTmzNMNhvg,0.433
582,Kaggle Reading Group: XLNet | Kaggle,,3.127 visualizações,Transmitido ao vivo em 3 de jul. de 2019,Ciência e tecnologia,Kaggle Reading Group: XLNet | Kaggle,"Kaggle













Carregando...
    







        Cancelar inscrição de Kaggle?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição39 mil 











Carregando...
    









Carregando...
    













        Processando...","3.127 visualizações







89

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



90


4

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



5",https://i.ytimg.com/vi/Ubh03Sh45b0/hqdefault.jpg,480.0,360.0,"This week we're starting a new paper in the Kaggle reading group: XLNet: Generalized Autoregressive Pretraining for Language Understanding (Yang et al, unpub...",1280.0,720.0,reading group,/channel/UCSNeZleDn9c74yQc-EKnVTA,0.355
583,Kaggle Live-Coding: Text-Based Dashboards | Kaggle,,679 visualizações,Transmitido ao vivo em 21 de dez. de 2018,Ciência e tecnologia,Kaggle Live-Coding: Text-Based Dashboards | Kaggle,"Kaggle













Carregando...
    







        Cancelar inscrição de Kaggle?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição39 mil 











Carregando...
    









Carregando...
    













        Processando...","679 visualizações







14

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



15


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/UjdsQPB0gQU/maxresdefault.jpg,1280.0,720.0,Join Kaggle data scientist Rachael live as she works on data science projects! Today she's going to working on a dashboard based on text data to monitor the ...,1280.0,720.0,CS,/channel/UCSNeZleDn9c74yQc-EKnVTA,0.284
